,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,Department,salary,actual_left,predicted_left,turnover_probability,risk_score_percent,risk_zone,retention_strategy
8569,0.82,0.95,6,191,6,0,0,0,accounting,medium,0,0,0.105,10.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
5747,0.18,0.86,5,267,4,0,0,0,accounting,medium,0,0,0.265,26.5,Low-Risk Zone,"Monitor satisfaction and workload, conduct manager check-ins, and clarify career-development opportunities."
3985,0.63,0.98,4,160,2,0,0,0,sales,medium,0,0,0.03,3.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
1776,0.43,0.51,2,149,3,1,1,0,accounting,medium,1,1,0.9,90.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
10499,0.51,0.98,4,245,3,0,0,0,support,medium,0,0,0.01,1.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
1533,0.83,0.92,4,235,5,0,1,0,sales,low,1,1,0.995,99.5,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
8554,0.2,0.9,3,218,4,0,0,0,sales,low,0,0,0.12,12.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
6154,0.74,0.84,3,239,3,0,0,0,technical,low,0,0,0.03,3.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
4230,0.98,0.5,4,264,3,0,0,0,technical,high,0,0,0.01,1.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
7910,0.8,1.0,3,177,2,0,0,0,technical,medium,0,0,0.025,2.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
8043,0.64,0.99,4,222,2,0,0,0,technical,low,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
2677,0.5,0.96,4,147,3,0,0,0,sales,low,0,0,0.01,1.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
11219,0.71,0.64,3,267,3,0,0,0,technical,low,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
8287,0.96,0.7,3,227,2,0,0,0,support,medium,0,0,0.075,7.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
6093,0.96,0.55,4,234,4,0,0,0,RandD,medium,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
9819,0.14,0.83,6,275,6,0,0,0,technical,low,0,0,0.265,26.5,Low-Risk Zone,"Monitor satisfaction and workload, conduct manager check-ins, and clarify career-development opportunities."
10758,0.19,0.85,5,249,3,0,0,0,marketing,low,0,1,0.58,58.0,Low-Risk Zone,"Monitor satisfaction and workload, conduct manager check-ins, and clarify career-development opportunities."
2748,0.5,0.68,4,161,3,0,0,0,sales,medium,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
6553,0.57,0.5,4,177,2,0,0,0,marketing,high,0,0,0.03,3.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
2754,0.84,0.99,2,184,2,0,0,0,sales,high,0,0,0.255,25.5,Low-Risk Zone,"Monitor satisfaction and workload, conduct manager check-ins, and clarify career-development opportunities."
888,0.43,0.57,2,131,3,1,1,0,support,medium,1,1,0.76,76.0,Medium-Risk Zone,"Conduct a targeted stay interview, review workload and compensation, provide a development plan, and address management or role concerns."
11783,0.56,0.74,3,265,3,0,0,0,support,medium,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
5165,0.8,0.97,5,258,3,0,0,0,IT,medium,0,0,0.03,3.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
9826,0.51,0.85,2,248,4,0,0,0,IT,high,0,0,0.365,36.5,Low-Risk Zone,"Monitor satisfaction and workload, conduct manager check-ins, and clarify career-development opportunities."
6124,0.59,0.58,2,267,3,0,0,0,sales,medium,0,0,0.095,9.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
3499,0.66,0.57,3,161,2,1,0,0,RandD,medium,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
4617,0.49,0.79,4,158,3,0,0,0,support,high,0,0,0.12,12.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
3063,0.15,0.85,3,199,2,0,0,0,sales,medium,0,0,0.15,15.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
5626,0.24,0.79,2,175,5,0,0,0,IT,low,0,0,0.07,7.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
451,0.1,0.87,6,286,4,0,1,0,IT,medium,1,1,1.0,100.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
7390,0.7,0.73,3,194,2,0,0,0,RandD,low,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
7473,0.61,0.72,4,134,2,0,0,0,accounting,medium,0,0,0.01,1.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
794,0.43,0.54,2,150,3,0,1,0,hr,low,1,1,1.0,100.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
4474,0.73,0.74,5,230,3,0,0,0,support,low,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
2031,0.74,0.58,3,241,3,0,0,0,support,low,0,0,0.03,3.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
6683,0.8,0.38,3,215,6,0,0,0,support,low,0,0,0.065,6.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
8644,0.41,0.5,3,193,3,0,0,0,sales,medium,0,0,0.06,6.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
10866,0.66,0.91,3,191,4,0,0,0,technical,low,0,0,0.035,3.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
5460,0.88,0.9,4,248,2,0,0,0,support,medium,0,0,0.015,1.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
6051,0.48,0.51,4,152,4,0,0,0,accounting,high,0,0,0.115,11.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
9230,0.37,0.82,3,199,5,0,0,0,management,medium,0,0,0.13,13.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
10246,0.7,0.49,4,173,3,0,0,0,sales,medium,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
4214,0.16,0.51,3,262,6,0,0,0,sales,low,0,0,0.05,5.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
8248,0.56,0.43,2,169,3,0,0,0,sales,medium,0,0,0.015,1.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
8075,0.67,0.39,2,235,6,0,0,0,RandD,low,0,0,0.08,8.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
680,0.4,0.49,2,128,3,0,1,0,sales,low,1,1,1.0,100.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
1221,0.75,0.89,4,228,5,0,1,0,support,low,1,1,0.985,98.5,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
9220,0.83,0.91,3,251,2,0,0,0,RandD,medium,0,0,0.015,1.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
4096,0.72,0.69,4,149,2,0,0,0,management,medium,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
7559,0.72,0.85,4,142,3,0,0,0,sales,medium,0,0,0.025,2.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
8130,0.61,0.57,4,160,3,1,0,0,support,low,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
6979,0.61,0.97,4,256,4,0,0,0,technical,medium,0,0,0.27,27.0,Low-Risk Zone,"Monitor satisfaction and workload, conduct manager check-ins, and clarify career-development opportunities."
5026,0.54,0.51,4,137,4,0,0,1,RandD,medium,0,0,0.015,1.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
539,0.45,0.54,2,129,3,0,1,0,marketing,high,1,1,0.99,99.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
1560,0.1,0.96,6,274,4,0,1,0,technical,low,1,1,0.995,99.5,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
